district,District,Country,District_code
5011,Mato Grosso Do Sul_rural,BRA,441
5013,Mato Grosso Do Sul_rural,BRA,442
5010,Mato Grosso Do Sul_rural,BRA,443
5101,Mato Grosso_capital,BRA,444
5102,Mato Grosso_capital,BRA,445
5103,Mato Grosso_resto_rm,BRA,446
5108,Mato Grosso_resto_uf,BRA,447
5107,Mato Grosso_resto_uf,BRA,448
5105,Mato Grosso_resto_uf,BRA,449
5111,Mato Grosso_resto_uf,BRA,450
5106,Mato Grosso_resto_uf,BRA,451
5110,Mato Grosso_resto_uf,BRA,452
5109,Mato Grosso_resto_uf,BRA,453
5104,Mato Grosso_resto_uf,BRA,454
5112,Mato Grosso_resto_uf,BRA,455
5116,Mato Grosso_rural,BRA,456
5113,Mato Grosso_rural,BRA,457
5118,Mato Grosso_rural,BRA,458
5114,Mato Grosso_rural,BRA,459
5117,Mato Grosso_rural,BRA,460
5115,Mato Grosso_rural,BRA,461
3103,Minas Gerais_capital,BRA,462
3101,Minas Gerais_capital,BRA,463
3106,Minas Gerais_capital,BRA,464
3105,Minas Gerais_capital,BRA,465
3104,Minas Gerais_capital,BRA,466
3102,Minas Gerais_capital,BRA,467
3109,Minas Gerais_resto_rm,BRA,468
3108,Minas Gerais_resto_rm,BRA,469
3107,Minas Gerais_resto_rm,BRA,470
3124,Minas Gerais_resto_uf,BRA,471
3128,Minas Gerais_resto_uf,BRA,472
3116,Minas Gerais_resto_uf,BRA,473
3123,Minas Gerais_resto_uf,BRA,474
3110,Minas Gerais_resto_uf,BRA,475
3118,Minas Gerais_resto_uf,BRA,476
3115,Minas Gerais_resto_uf,BRA,477
3126,Minas Gerais_resto_uf,BRA,478
3119,Minas Gerais_resto_uf,BRA,479
3130,Minas Gerais_resto_uf,BRA,480
3121,Minas Gerais_resto_uf,BRA,481
3114,Minas Gerais_resto_uf,BRA,482
3113,Minas Gerais_resto_uf,BRA,483
3125,Minas Gerais_resto_uf,BRA,484
3122,Minas Gerais_resto_uf,BRA,485
3129,Minas Gerais_resto_uf,BRA,486
3120,Minas Gerais_resto_uf,BRA,487
3112,Minas Gerais_resto_uf,BRA,488
3111,Minas Gerais_resto_uf,BRA,489
3117,Minas Gerais_resto_uf,BRA,490
3127,Minas Gerais_resto_uf,BRA,491
3145,Minas Gerais_rural,BRA,492
3136,Minas Gerais_rural,BRA,493
3148,Minas Gerais_rural,BRA,494
3139,Minas Gerais_rural,BRA,495
3144,Minas Gerais_rural,BRA,496
3140,Minas Gerais_rural,BRA,497
3143,Minas Gerais_rural,BRA,498
3142,Minas Gerais_rural,BRA,499
3133,Minas Gerais_rural,BRA,500
3131,Minas Gerais_rural,BRA,501
3134,Minas Gerais_rural,BRA,502
3137,Minas Gerais_rural,BRA,503
3135,Minas Gerais_rural,BRA,504
3149,Minas Gerais_rural,BRA,505
3141,Minas Gerais_rural,BRA,506
3147,Minas Gerais_rural,BRA,507
3138,Minas Gerais_rural,BRA,508
3146,Minas Gerais_rural,BRA,509
3132,Minas Gerais_rural,BRA,510
4104,Paraná_capital,BRA,511
4101,Paraná_capital,BRA,512
4103,Paraná_capital,BRA,513
4102,Paraná_capital,BRA,514
4105,Paraná_capital,BRA,515
4107,Paraná_resto_rm,BRA,516
4106,Paraná_resto_rm,BRA,517
4108,Paraná_resto_rm,BRA,518
4119,Paraná_resto_uf,BRA,519
4123,Paraná_resto_uf,BRA,520
4110,Paraná_resto_uf,BRA,521
4112,Paraná_resto_uf,BRA,522
4122,Paraná_resto_uf,BRA,523
4111,Paraná_resto_uf,BRA,524
4120,Paraná_resto_uf,BRA,525
4121,Paraná_resto_uf,BRA,526
4109,Paraná_resto_uf,BRA,527
4116,Paraná_resto_uf,BRA,528
4115,Paraná_resto_uf,BRA,529
4113,Paraná_resto_uf,BRA,530
4118,Paraná_resto_uf,BRA,531
4114,Paraná_resto_uf,BRA,532
4117,Paraná_resto_uf,BRA,533
4124,Paraná_resto_uf,BRA,534
4132,Paraná_rural,BRA,535
4130,Paraná_rural,BRA,536
4126,Paraná_rural,BRA,537
4129,Paraná_rural,BRA,538
4125,Paraná_rural,BRA,539
4133,Paraná_rural,BRA,540
4127,Paraná_rural,BRA,541
4131,Paraná_rural,BRA,542
4128,Paraná_rural,BRA,543
4135,Paraná_rural,BRA,544
4134,Paraná_rural,BRA,545
2501,Paraíba_capital,BRA,546
2503,Paraíba_capital,BRA,547
2502,Paraíba_capital,BRA,548
2504,Paraíba_resto_rm,BRA,549
2505,Paraíba_resto_rm,BRA,550
2506,Paraíba_resto_uf,BRA,551
2507,Paraíba_resto_uf,BRA,552
2511,Paraíba_resto_uf,BRA,553
2509,Paraíba_resto_uf,BRA,554
2508,Paraíba_resto_uf,BRA,555
2510,Paraíba_resto_uf,BRA,556
2512,Paraíba_rural,BRA,557
2514,Paraíba_rural,BRA,558
2518,Paraíba_rural,BRA,559
2513,Paraíba_rural,BRA,560
2517,Paraíba_rural,BRA,561
2516,Paraíba_rural,BRA,562
2515,Paraíba_rural,BRA,563
1503,Pará_capital,BRA,564
1502,Pará_capital,BRA,565
1501,Pará_capital,BRA,566
1504,Pará_resto_rm,BRA,567
1505,Pará_resto_rm,BRA,568
1508,Pará_resto_uf,BRA,569
1507,Pará_resto_uf,BRA,570
1506,Pará_resto_uf,BRA,571
1509,Pará_resto_uf,BRA,572
1510,Pará_resto_uf,BRA,573
1511,Pará_resto_uf,BRA,574
1514,Pará_rural,BRA,575
1518,Pará_rural,BRA,576
1516,Pará_rural,BRA,577
1515,Pará_rural,BRA,578
1519,Pará_rural,BRA,579
1512,Pará_rural,BRA,580
1517,Pará_rural,BRA,581
1513,Pará_rural,BRA,582
2601,Pernambuco_capital,BRA,583
2602,Pernambuco_capital,BRA,584
2603,Pernambuco_capital,BRA,585
2604,Pernambuco_resto_rm,BRA,586
2605,Pernambuco_resto_rm,BRA,587
2606,Pernambuco_resto_rm,BRA,588
2614,Pernambuco_resto_uf,BRA,589
2607,Pernambuco_resto_uf,BRA,590
2613,Pernambuco_resto_uf,BRA,591
2608,Pernambuco_resto_uf,BRA,592
2610,Pernambuco_resto_uf,BRA,593
2611,Pernambuco_resto_uf,BRA,594
2615,Pernambuco_resto_uf,BRA,595
2612,Pernambuco_resto_uf,BRA,596
2609,Pernambuco_resto_uf,BRA,597
2624,Pernambuco_rural,BRA,598
2618,Pernambuco_rural,BRA,599
2620,Pernambuco_rural,BRA,600
2617,Pernambuco_rural,BRA,601
2621,Pernambuco_rural,BRA,602
2616,Pernambuco_rural,BRA,603
2622,Pernambuco_rural,BRA,604
